"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC2";"40xx-DIL16";1;"4094N";;;
2;"IC1";"atmel-DIL40";1;"ATMEGA16/32";;;
3;"C11,C10,C2,C1";"C1";4;"0.1uF";;;
4;"C4,C3";"C1";2;"22pF";;;
5;"C9,C8,C7,C6,C5";"C1/16";5;"1uF";;;
6;"Conn1";"CONN_USB-B";1;"USB";;;
7;"X1";"Cr2";1;"16MHz";;;
8;"BT1";"CR2032";1;"BATTERY";;;
9;"X2";"CrClk";1;"32.768KHz";;;
10;"D15";"D5";1;"R_PROT";;;
11;"D4,D2";"D5";2;"3.3V";;;
12;"P11";"header-10";1;"DIGITAL_2";;;
13;"P1";"header-2";1;"Vin";;;
14;"P13";"header-3x2";1;"ICSP";;;
15;"JP2";"header-4";1;"TX";;;
16;"JP1";"header-4";1;"RX";;;
17;"P12";"header-8";1;"PB0-7";;;
18;"P10";"header-8";1;"DIGITAL";;;
19;"P9";"header-8";1;"POWER";;;
20;"P8";"header-8";1;"Vcc (5V)";;;
21;"P6";"header-8";1;"PC7-0";;;
22;"P5";"header-8";1;"PA7-0";;;
23;"P4";"header-8";1;"GND (0V)";;;
24;"LCD1";"lcd_2x16_led_backlight-HY-1602F";1;"CLCD_2X16";;;
25;"D1";"LED3";1;"PWR";;;
26;"D14";"LEDV";1;"IR";;;
27;"D13";"LEDV";1;"B7";;;
28;"D12";"LEDV";1;"B6";;;
29;"D11";"LEDV";1;"B5";;;
30;"D10";"LEDV";1;"B4";;;
31;"D9";"LEDV";1;"B3";;;
32;"D8";"LEDV";1;"B2";;;
33;"D7";"LEDV";1;"B1";;;
34;"D6";"LEDV";1;"B0";;;
35;"D3";"LEDV";1;"PGM";;;
36;"U1";"LM78XX";1;"LM7805";;;
37;"U3";"max232ti-DIL16";1;"MAX232";;;
38;"RV2";"pot_sq";1;"BRGT-10K";;;
39;"RV1";"pot_sq";1;"CONT-1K";;;
40;"R19,R18";"R5";2;"22K";;;
41;"R17,R15,R14,R13,R12,R11,R10,R9,R8,R4,R1";"R5";11;"150R";;;
42;"R16";"R5";1;"120R";;;
43;"R7";"R5";1;"1.5K";;;
44;"R6,R5";"R5";2;"68R";;;
45;"R3,R20";"R5";2;"39K";;;
46;"SW1";"sw_dpdt";1;"POWER";;;
47;"SW4";"sw_push_s";1;"DOWNLOAD";;;
48;"SW3";"sw_push_s";1;"RESET";;;
49;"SW2";"sw_push_s";1;"BUTTON";;;
50;"IC3";"dip-8";1;"DS1307";;;
51;"P7";"header-4";1;"CC";;;
52;"G***";"";1;"esrijan_pcb_logo_7";;;
53;"G***";"";1;"esrijan_logo_7";;;
54;"G***";"";1;"esrijan_flipped_logo_7";;;
55;"J2";"db9f";1;"DB9";;;
56;"G***";"";1;"oshw_logo";;;
57;"G***,G***";"";2;"oshw_pcb_logo";;;
