ref	value
C1	0.1uF
C2	0.1uF
C3	22pF
C4	22pF
C5	1uF
C6	1uF
C7	1uF
C8	1uF
C9	1uF
C10	0.1uF
C11	0.1uF
Conn1	CONN USB
D1	PWR
D2	3.6V
D3	PGM
D4	3.6V
D5	5V
D6	B0
D7	B1
D8	B2
D9	B3
D10	B4
D11	B5
D12	B6
D13	B7
IC1	ATMEGA16/32-P
IC2	4094N
J1	PGM-DB9
J2	DB9
JP1	BL
JP2	RX
JP3	PGM
LCD1	LCD_2X16_SIL
P1	Vin
P4	GND
P5	PA7-0
P6	PC0-7
P7	INPUT
P8	OUTPUT
P9	Vmo
R1	150R
R2	1.5K
R3	12K
R4	150R
R5	68R
R6	68R
R7	1.5K
R8	150R
R9	150R
R10	150R
R11	150R
R12	150R
R13	150R
R14	150R
R15	150R
R16	120R
R17	12K
RV1	CONT
RV2	BRGT
SW1	USB-PWR
SW2	BUTTON
SW3	RESET
U1	LM7805
U2	ULN2003
U3	MAX232
U4	LM7805
X1	16MHz
